scientific_name,family,group,origin,comments,source
Thermopsis robusta,Fabaceae,Dicotyledons,native,Oregon occurrence discovered after publication of Flora of Oregon,AcceptedTaxa_NotTreatedInFlora
Brodiaea nana,Asparagaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Calochortus amabilis,Liliaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Calochortus luteus,Liliaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Calochortus persistens,Liliaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Elodea bifoliata,Hydrocharitaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Erythronium multiscapideum,Liliaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Lygodesmia juncea,Asteraceae,Dicotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Muhlenbergia rigens,Poaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Najas guadalupensis var. guadalupensis,Hydrocharitaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
Pinus muricata,Pinaceae,Gymnosperms,uncertain,,AcceptedTaxa_NotTreatedInFlora
Triteleia peduncularis,Asparagaceae,Monocotyledons,uncertain,,AcceptedTaxa_NotTreatedInFlora
