scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Pinus x attenuradiata,knobcone-Monterey pine,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Piptochaetium fimbriatum,pinyon rice grass,Ornamental Grass,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pisonia umbellifera,map plant,Tree,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Pistacia chinensis ssp. & cvs.,Chinese pistache,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Pistacia lentiscus,mastic tree,"Shrub, Tree",Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
"Pistacia mexicana (P. texensis, texana)",Texas pistache,"Shrub, Tree",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pistacia vera (edible),pistachio,Tree,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Pistacia x 'Red Push',red push pistache,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Pithecoctenium crucigerum,monkey comb,Vine,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pittosporum  napaulense,golden fragrance,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pittosporum angustifolium (Pittosporum phillyraeoides),willow pittosporum,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
