scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Pittosporum brevicalyx,pittosporum (brevicalyx),Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pittosporum crassifolium,evergreen pittosporum,"Shrub, Tree",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Pittosporum eugenioides,tarata,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Pittosporum rhombifolium,Queensland pittosporum,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Pittosporum tenuifolium ssp. & cvs.,tawhiwhi,Tree,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pittosporum tobira and cvs.,mock orange,"Shrub, Tree",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Pittosporum undulatum,Victorian box,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Platanus mexicana,Mexican sycamore,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Platanus occidentalis 'Glabrata',Texas sycamore,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Platanus racemosa,California sycamore,"Tree, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Platanus wrightii,Arizona sycamore,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Platanus x hispanica and cvs. (Platanus x acerfolia),London plane,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Platycladus orientalis (Thuja orientalis),oriental arborvitae,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60
Platycodon grandiflorus,balloon flower,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plecostachys serpyllifolia (Helichrysum),straw flower,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Plectranthus argentatus,silver plectranthus,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plectranthus ciliatus 'Drege' (shade),spur flower,"Ground Cover, Perennial",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plectranthus ecklonii,large spur flower bush,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plectranthus ernstii,bonsai mint,"Perennial, Succulent",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plectranthus madagascariensis 'Variegated Mintleaf',variegated mintleaf,"Ground Cover, Perennial",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plectranthus neochilus,lobster flower,"Ground Cover, Perennial, Succulent",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plectranthus verticillatus,Swedish ivy,"Ground Cover, Perennial",Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pleioblastus spp.,dwarf bamboo,"Ground Cover, Perennial, Shrub, Bamboo",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pleiospilos spp. & cvs.,Split Rock,Succulent,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Pluchea sericea,Coville arrow weed,"Shrub, California Native",Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Plumbago auriculata (capensis) ssp. & cvs.,cape plumbago,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Plumbago indica,rose colored leadwort,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Plumbago scandens,summer snow,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Plumeria spp. and cvs.,frangipani,"Shrub, Tree",Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Poa costiniana,Australian blue grass,Ornamental Grass,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Poa fendleriana (SHADE),mutton grass,"Ornamental Grass, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Poa secunda  (SHADE),pine bluegrass,"Ornamental Grass, California Native",Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podocarpus alpinus cvs.,alpine plum yew,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podocarpus elongatus,Breede river yellow-wood,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podocarpus henkelii,long leaf yellow wood,Tree,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A
Podocarpus latifolius,yellow wood,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Podocarpus lawrencei cvs.,mountain plum pine,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podocarpus macrophyllus,yew pine,"Shrub, Tree",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Podocarpus nivalis,alpine totara,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podocarpus totara,totara,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podranea brycei,Queen of Sheba,Vine,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Podranea ricasoliana,pink trumpet vine,Vine,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Pogonatherum paniceum,baby bamboo,"Ground Cover, Ornamental Grass",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polemonium spp.,Jacob's ladder,Perennial,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polianthes tuberosa,tuberose,Bulb,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Poliomintha longiflora,Rosemary mint,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Poliomintha maderensis 'Lavender Spice™',Mexican Oregano,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60
Polygala 'Alta Mariposa',large butterfly sweet pea shrub,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polygala X dalmaisiana,sweet pea shrub,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Polygala chamaebuxus,shrubby milkwort,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polygala fruticosa 'Petite Buttterfly',Petite Butterfly pea shrub,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polygala myrtifolia,myrtle-leaf milkwort,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polygala virgata,purple milkwort,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polygonatum odoratum (japonicum),Soloman''s seal,Perennial,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polypodium (subtropical spp.),polypody,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polypodium californicum,California polypody,"Perennial, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum acrostichoides,Christmas fern,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum aculeatum,hard shield fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum californicum,California sword fern,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum makinoi,Makinoi's holly fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum munitum,western sword fern,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum polyblepharum,Japanese lace fern,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum setiferum,soft shield fern,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Polystichum setigerum,Alaska holly fern,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum setosum,tassel fern,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum tsus-simense,Korean rock fern,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Polystichum x dycei,Dyce's hybrid holly fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Populus 'Mohavensis',Mohave poplar,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Populus 'Red Caudina',cottonless cottonwood,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Populus alba 'Pyramidalis',bolleana poplar,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Populus fremontii,western cottonwood,"Tree, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Populus monticola,white bark cottonwood,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Populus nigra 'Italica',Lombardy poplar,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Populus tremuloides,quaking aspen,"Tree, California Native",Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Populus trichocarpa (Populus balsamifera),black cottonwood,"Tree, California Native",High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A
Populus x canadensis,Carolina poplar,Tree,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90
Portulaca molokiniensis 'Maraca',Maraca Portulaca,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Portulacaria afra ssp. & cvs.,elephant's food,"Perennial, Shrub, Succulent",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60
Potentilla anserina,silverweed,"Perennial, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Potentilla argentea,silver cinquefoil,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Potentilla atrosanguinea,ruby cinquefoil,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Potentilla gracilis,cinquefoil,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Potentilla megalantha,strawberry cinquefoil,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Potentilla neumanniana,spring cinquefoil,Ground Cover,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Potentilla verna,spring cinquefoil,Ground Cover,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Primula spp. (CA native) Dodecatheon spp,shooting stars,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prosartes hookeri (Disporum hookeri) (shade),fairy lantern,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prosartes smithii (Disporum smithii) (shade),fairy lantern,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prosopis alba ssp. & cvs.,Argentine mesquite,Tree,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis glandulosa ssp. & cvs. (Prosopis chilensis),Chilean mesquite,Tree,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis glandulosa var. torreyana,honey mesquite,"Tree, California Native",Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis hybrids and cvs.,prosopis hybrids,Tree,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis juliflora,Arizona mesquite,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis pubescens,screwbean mesquite,"Tree, California Native",Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis velutina,velvet mesquite,Tree,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
"Prosopis x 'Leslie Roy' PP23,360",Leslie Roy Mesquite,Tree,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prosopis x 'Phoenix®',Thornless South American Mesquite,Tree,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Prostanthera denticulata,mint bush,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prostanthera lasianthos,Victorian dogwood,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prostanthera ovalifolia,mint bush,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prostanthera phylicifolia,spiked mint bush,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prostanthera rotundifolia,round leaf mint bush,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Protea spp. & cvs.,protea,"Perennial, Shrub",Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Prunella spp. (CA native and non-native species),self heal,"Ground Cover, Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prunus andersonii,desert peach,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Prunus besseyi,western sand cherry,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Prunus caroliniana ssp. & cvs.,Carolina laurel cherry,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Prunus cerasifera,'Krauter Vesuvius' Purple Plum,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Prunus fasciculata,desert almond,"Shrub, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A
Prunus glandulosa,flowering almond,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
