symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
AESCU,,Aesculus L.,buckeye,Hippocastanaceae,False,OR
AETR,,Aegilops triuncialis L.,barbed goatgrass,Poaceae,False,OR
AETR,AESQ,Aegilops squarrosa L.,,Poaceae,True,OR
AETR,TRPE19,Triticum persicum (Boiss.) Aitch. & Hemsl.,,Poaceae,True,OR
AETR,TRTR5,Triticum triunciale (L.) Raspail,,Poaceae,True,OR
AGAE,,Agrostis aequivalvis (Trin.) Trin.,arctic bentgrass,Poaceae,False,OR
AGAE,POAE,Podagrostis aequivalvis (Trin.) Scribn. & Merr.,,Poaceae,True,OR
AGAP2,,Agoseris apargioides (Less.) Greene,woolly goat chicory,Asteraceae,False,OR
AGAPA,,Agoseris apargioides (Less.) Greene var. apargioides,woolly goat chicory,Asteraceae,False,OR
AGAPA,AGHI4,Agoseris hirsuta (Hook.) Greene,,Asteraceae,True,OR
AGAPA,TRAP2,Troximon apargioides Less.,,Asteraceae,True,OR
AGAPE,,Agoseris apargioides (Less.) Greene var. eastwoodiae (Fedde) Munz,woolly goat chicory,Asteraceae,False,OR
AGAPE,AGEA,Agoseris eastwoodiae Fedde,,Asteraceae,True,OR
AGAPM,,Agoseris apargioides (Less.) Greene var. maritima (Sheldon) Q. Jones ex Cronquist,woolly goat chicory,Asteraceae,False,OR
AGAPM,AGAPM2,Agoseris apargioides (Less.) Greene ssp. maritima (Sheldon) Q. Jones,,Asteraceae,True,OR
AGAPM,AGMA4,Agoseris maritima Sheldon,,Asteraceae,True,OR
AGAST,,Agastache Clayton ex Gronov.,giant hyssop,Lamiaceae,False,OR
AGAU2,,Agoseris aurantiaca (Hook.) Greene,orange agoseris,Asteraceae,False,OR
AGAUA,,Agoseris aurantiaca (Hook.) Greene var. aurantiaca,orange agoseris,Asteraceae,False,OR
AGAUA,AGGR7,Agoseris graminifolia Greene,,Asteraceae,True,OR
AGAUA,AGRO2,Agoseris rostrata Rydb.,,Asteraceae,True,OR
AGAUA,TRAU8,Troximon aurantiacum Hook.,,Asteraceae,True,OR
AGCA11,,Agrostis castellana Boiss. & Reuter,bentgrass,Poaceae,False,OR
AGCA4,,Agrostis canina L.,velvet bentgrass,Poaceae,False,OR
AGCA4,AGCAV,Agrostis canina L. var. varians (Thuill.) Ducomm.,,Poaceae,True,OR
AGCA5,,Agrostis capillaris L.,colonial bentgrass,Poaceae,False,OR
AGCA5,AGSY2,Agrostis sylvatica Huds.,,Poaceae,True,OR
AGCA5,AGTE,Agrostis tenuis Sibth.,,Poaceae,True,OR
AGCA5,AGTEA,Agrostis tenuis Sibth. var. aristata (Parnell) Druce,,Poaceae,True,OR
AGCA5,AGTEH,Agrostis tenuis Sibth. var. hispida (Willd.) Philipson,,Poaceae,True,OR
AGCA5,AGTEP,Agrostis tenuis Sibth. var. pumila (L.) Druce,,Poaceae,True,OR
AGCA5,AGVU2,Agrostis vulgaris With.,,Poaceae,True,OR
AGCR,,Agropyron cristatum (L.) Gaertn.,crested wheatgrass,Poaceae,False,OR
AGCRP8,,Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev,crested wheatgrass,Poaceae,False,OR
