symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
COERK,,Cordylanthus eremicus (Coville & Morton) Munz ssp. kernensis T.I. Chuang & Heckard,Kern Plateau bird's-beak,Scrophulariaceae,False,CA
COFI2,,Corethrogyne filaginifolia (Hook. & Arn.) Nutt.,common sandaster,Asteraceae,False,CA
COFIC,,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. californica (DC.) J.P. Saroyan,California sandaster,Asteraceae,False,CA
COFIC,COCA11,Corethrogyne californica DC.,,Asteraceae,True,CA
COFIC,COCAC5,Corethrogyne californica DC. var. californica,,Asteraceae,True,CA
COFIC,COCAL,Corethrogyne californica DC. var. lyonii S.F. Blake,,Asteraceae,True,CA
COFIC,COCAO,Corethrogyne californica DC. var. obovata (Benth.) Kuntze,,Asteraceae,True,CA
COFIC,COOB8,Corethrogyne obovata Benth.,,Asteraceae,True,CA
COFIC,LEFIC2,Lessingia filaginifolia (Hook. & Arn.) M.A. Lane var. californica (DC.) M.A. Lane,,Asteraceae,True,CA
COFIF,,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. filaginifolia,common sandaster,Asteraceae,False,CA
COFIF,COFIB,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. bernardina (Abrams) H.M. Hall,,Asteraceae,True,CA
COFIF,COFIB2,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. brevicula (Greene) Canby,,Asteraceae,True,CA
COFIF,COFIG,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. glomerata H.M. Hall,,Asteraceae,True,CA
COFIF,COFIH,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. hamiltonensis D.D. Keck,,Asteraceae,True,CA
COFIF,COFII,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. incana (Nutt.) Canby,,Asteraceae,True,CA
COFIF,COFIL,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. latifolia H.M. Hall,,Asteraceae,True,CA
COFIF,COFIL2,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. linifolia H.M. Hall,,Asteraceae,True,CA
COFIF,COFIP,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. peirsonii Canby,,Asteraceae,True,CA
COFIF,COFIP2,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. pinetorum I.M. Johnst.,,Asteraceae,True,CA
COFIF,COFIR2,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. rigida A. Gray,,Asteraceae,True,CA
COFIF,COFIR,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. robusta Greene,,Asteraceae,True,CA
COFIF,COFIS,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. sessilis (Greene) Canby,,Asteraceae,True,CA
COFIF,COFIV,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. virgata (Benth.) A. Gray,,Asteraceae,True,CA
COFIF,COFIV2,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. viscidula (Greene) D.D. Keck,,Asteraceae,True,CA
COFIF,COFL8,Corethrogyne flagellaris Greene,,Asteraceae,True,CA
COFIF,COFL9,Corethrogyne floccosa Greene,,Asteraceae,True,CA
COFIF,COIN8,Corethrogyne incana Nutt.,,Asteraceae,True,CA
COFIF,COLE2,Corethrogyne leucophylla (Lindl.) Jeps.,,Asteraceae,True,CA
COFIF,COLI9,Corethrogyne linifolia (H.M. Hall) Ferris,,Asteraceae,True,CA
COFIF,COSC8,Corethrogyne scabra Greene,,Asteraceae,True,CA
COFIF,COSE15,Corethrogyne sessilis Greene,,Asteraceae,True,CA
COFIF,COTO3,Corethrogyne tomentella (Hook. & Arn.) Torr. & A. Gray,,Asteraceae,True,CA
COFIF,COVI14,Corethrogyne viscidula Greene,,Asteraceae,True,CA
COFIF,LEFI11,Lessingia filaginifolia (Hook. & Arn.) M.A. Lane,,Asteraceae,True,CA
COFL,,Conyza floribunda Kunth,asthmaweed,Asteraceae,False,CA
COFL,COBI3,Conyza bilboana Remy,,Asteraceae,True,CA
COFL,COBOL,Conyza bonariensis (L.) Cronquist var. leiotheca (S.F. Blake) Cuatrec.,,Asteraceae,True,CA
COFL,ERBI5,Erigeron bilboanus (Remy) Cabrera,,Asteraceae,True,CA
COFL,ERFL15,Erigeron floribundus (Kunth) Sch. Bip.,,Asteraceae,True,CA
COFR3,,Cotoneaster franchetii Boiss.,orange cotoneaster,Rosaceae,False,CA
COGI,,Coreopsis gigantea (Kellogg) H.M. Hall,giant coreopsis,Asteraceae,False,CA
COGI,LEGI2,Leptosyne gigantea Kellogg,,Asteraceae,True,CA
COGI,TUGI,Tuckermannia gigantea (Kellogg) M.E. Jones,,Asteraceae,True,CA
COGL,,Condalia globosa I.M. Johnst.,bitter snakewood,Rhamnaceae,False,CA
COGL3,,Cornus glabrata Benth.,brown dogwood,Cornaceae,False,CA
COGLP,,Condalia globosa I.M. Johnst. var. pubescens I.M. Johnst.,bitter snakewood,Rhamnaceae,False,CA
COGM,,Conioselinum gmelinii (Cham. & Schltdl.) Steud.,Pacific hemlockparsley,Apiaceae,False,CA
COGM,COCHP,"Conioselinum chinense (L.) Britton, Sterns & Poggenb. var. pacificum (S. Watson) B. Boivin",,Apiaceae,True,CA
COGM,COPA22,Conioselinum pacificum (S. Watson) J.M. Coult. & Rose,,Apiaceae,True,CA
COGR2,,Collinsia grandiflora Lindl.,giant blue eyed Mary,Scrophulariaceae,False,CA
COGR2,COPAG,Collinsia parviflora Lindl. var. grandiflora (Lindl.) Ganders & Krause,,Scrophulariaceae,True,CA
COGR3,,Collinsia greenei A. Gray,Greene's blue eyed Mary,Scrophulariaceae,False,CA
COGR4,,Collomia grandiflora Douglas ex Lindl.,grand collomia,Polemoniaceae,False,CA
COGR5,,Coreopsis grandiflora Hogg ex Sweet,largeflower tickseed,Asteraceae,False,CA
COGR6,,Cochlearia groenlandica L.,Danish scurvygrass,Brassicaceae,False,CA
COGR6,COOFA,Cochlearia officinalis L. ssp. arctica (Schltdl.) Hultén,,Brassicaceae,True,CA
COGR6,COOFG,Cochlearia officinalis L. ssp. groenlandica (L.) A.E. Porsild,,Brassicaceae,True,CA
COGR6,COOFO,Cochlearia officinalis L. ssp. oblongifolia (DC.) Hultén,,Brassicaceae,True,CA
COGR6,COOFA2,Cochlearia officinalis L. var. arctica (Schltdl.) Gelert,,Brassicaceae,True,CA
COGR6,COGR11,Cochleariopsis groenlandica (L.) Á. Löve & D. Löve,,Brassicaceae,True,CA
COGR6,COGRA,Cochleariopsis groenlandica (L.) Á. Löve & D. Löve ssp. arctica (Schltdl.) Á. Löve & D. Löve,,Brassicaceae,True,CA
COGR6,COGRO,Cochleariopsis groenlandica (L.) Á. Löve & D. Löve ssp. oblongifolia (DC.) Á. Löve & D. Löve,,Brassicaceae,True,CA
COGRG,,Coreopsis grandiflora Hogg ex Sweet var. grandiflora,largeflower tickseed,Asteraceae,False,CA
COGRG,COGRP2,Coreopsis grandiflora Hogg ex Sweet var. pilosa Sherff,,Asteraceae,True,CA
COHA2,,Coreopsis hamiltonii (Elmer) H. Sharsm.,Mt. Hamilton tickseed,Asteraceae,False,CA
COHA2,LEHA3,Leptosyne hamiltonii Elmer,,Asteraceae,True,CA
COHE,,Collinsia heterophylla Buist ex Graham,purple Chinese houses,Scrophulariaceae,False,CA
COHE2,,Collomia heterophylla Douglas ex Hook.,variableleaf collomia,Polemoniaceae,False,CA
COHEA,,Collinsia heterophylla Buist ex Graham var. austromontana (Newsom) Munz,purple Chinese houses,Scrophulariaceae,False,CA
COHEA,COAU7,Collinsia austromontana (Newsom) Pennell,,Scrophulariaceae,True,CA
COHEH,,Collinsia heterophylla Buist ex Graham var. heterophylla,purple Chinese houses,Scrophulariaceae,False,CA
COINC,,Coincya Rouy,star-mustard,Brassicaceae,False,CA
COJU2,,Cortaderia jubata (Lem.) Stapf,purple pampas grass,Poaceae,False,CA
COJU2,COAT2,Cortaderia atacamensis (Phil.) Pilg.,,Poaceae,True,CA
COKI,,Cordylanthus kingii S. Watson,King's bird's-beak,Scrophulariaceae,False,CA
COKIH,,Cordylanthus kingii S. Watson ssp. helleri (Ferris) T.I. Chuang & Heckard,Heller's bird's-beak,Scrophulariaceae,False,CA
COKIH,COHE4,Cordylanthus helleri (Ferris) J.F. Macbr.,,Scrophulariaceae,True,CA
COKIH,COKIH2,Cordylanthus kingii S. Watson var. helleri (Ferris) N.H. Holmgren,,Scrophulariaceae,True,CA
COLA18,,Cotoneaster lacteus W.W. Sm.,milkflower cotoneaster,Rosaceae,False,CA
COLA3,,Coptis laciniata A. Gray,Oregon goldthread,Ranunculaceae,False,CA
COLA5,,Coreopsis lanceolata L.,lanceleaf tickseed,Asteraceae,False,CA
COLA5,COCR5,Coreopsis crassifolia Aiton,,Asteraceae,True,CA
COLA5,COHE7,Coreopsis heterogyna Fernald,,Asteraceae,True,CA
COLA5,COLAV,Coreopsis lanceolata L. var. villosa Michx.,,Asteraceae,True,CA
COLA8,,Collomia larsenii (A. Gray) Payson,talus collomia,Polemoniaceae,False,CA
COLA8,CODEL,Collomia debilis (S. Watson) Greene var. larsenii (A. Gray) Brand,,Polemoniaceae,True,CA
COLEO,,Coleogyne Torr.,coleogyne,Rosaceae,False,CA
COLI,,Collinsia linearis A. Gray,narrowleaf blue eyed Mary,Scrophulariaceae,False,CA
COLI,CORAL4,Collinsia rattanii A. Gray var. linearis (A. Gray) Newsom,,Scrophulariaceae,True,CA
COLI2,,Collomia linearis Nutt.,tiny trumpet,Polemoniaceae,False,CA
COLLI,,Collinsia Nutt.,blue eyed Mary,Scrophulariaceae,False,CA
COLLO,,Collomia Nutt.,trumpet,Polemoniaceae,False,CA
COLUB,,Colubrina Rich. ex Brongn.,nakedwood,Rhamnaceae,False,CA
COLUT,,Colutea L.,colutea,Fabaceae,False,CA
COMA10,,Coreopsis maritima (Nutt.) Hook. f.,sea dahlia,Asteraceae,False,CA
COMA10,TUMA2,Tuckermannia maritima Nutt.,,Asteraceae,True,CA
COMA2,,Conium maculatum L.,poison hemlock,Apiaceae,False,CA
COMA25,,Corallorhiza maculata (Raf.) Raf.,summer coralroot,Orchidaceae,False,CA
COMA25,COMA4,"Corallorrhiza maculata (Raf.) Raf., orth. var.",,Orchidaceae,True,CA
COMA5,,Cordylanthus maritimus Nutt. ex Benth.,saltmarsh bird's-beak,Scrophulariaceae,False,CA
COMA5,CHMA4,Chloropyron maritimum (Nutt. ex Benth.) A. Heller,,Scrophulariaceae,True,CA
COMAC,,Cordylanthus maritimus Nutt. ex Benth. ssp. canescens (A. Gray) T.I. Chuang & Heckard,saltmarsh bird's-beak,Scrophulariaceae,False,CA
COMAC,COCA29,Cordylanthus canescens A. Gray,,Scrophulariaceae,True,CA
COMAC,COMAC3,Cordylanthus maritimus Nutt. ex Benth. var. canescens (A. Gray) Jeps.,,Scrophulariaceae,True,CA
