Latin binomial,Common Names,Rating,Alert,Impact Score,Invasiveness Score,Distribution Score,Documentation Score,CDFA Rating
Carduus tenuiflorus,slenderflower thistle; Italian thistle; multiheaded thistle; seaside thistle; shore thistle; winged plumeless thistle,Limited,,C,C,B,3,
Carex pendula,hanging sedge,Watch,,,,,,
Carpobrotus chilensis,sea fig; iceplant,Moderate,,B,B,A,2,
Carpobrotus edulis,highway iceplant,High,,A,B,A,3.5,
Carrichtera annua,Ward's weed,Moderate,Alert,B,B,C,3.5,
Carthamus lanatus,woolly distaff thistle; false starthistle; saffron thistle; woolly safflower; woolly starthistle,High,,A,B,C,3,
Casuarina equisetifolia,beach sheoak,Watch,,,,,,
Catharanthus roseus,Madagascar periwinkle,Watch,,,,,,
Cenchrus echinatus,southern sandbur,Watch,,,,,,
Cenchrus longispinus,mat sandbur,Watch,,,,,,
Centaurea calcitrapa,purple starthistle,Moderate,,B,B,B,2.5,
Centaurea diffusa,diffuse knapweed,Moderate,,B,B,B,3.5,
Centaurea diluta,North African knapweed,Watch,,,,,,
Centaurea jacea ssp. pratensis,meadow knapweed,Moderate,Alert,B,B,C,2.5,
Centaurea melitensis,tocalote; Malta starthistle,Moderate,,B,B,B,2.5,
Centaurea solstitialis,yellow starthistle,High,,A,B,A,3,
Centaurea stoebe ssp. australis,spotted knapweed,High,,A,B,B,3.5,
Centaurea virgata ssp. squarrosa,squarrose knapweed,Moderate,,B,B,B,3.5,
Cestrum parqui,willow jessamine,Watch,,,,,,
Chasmanthe floribunda,African cornflag,Watch,,,,,,
Chondrilla juncea,skeleton weed; devil's grass; hogbite; gum succory; naked weed,Moderate,,B,B,B,3,
Chrysanthemoides monilifera ssp. monilifera,boneseed; Higgin's curse; jungle flower;,Moderate,Alert,B,A,C,3.5,
Cirsium arvense,Canada thistle,Moderate,,B,B,B,3,
Cirsium vulgare,bull thistle,Moderate,,B,B,B,3.5,
Clematis vitalba,old man's beard; traveler's joy,Moderate,Alert,B,A,C,3,
Colocasia esculenta,taro root; wild taro; coco-yam; eddo; elephant-ear-plant,Moderate,Alert,B,A,D,3,
Conicosia pugioniformis,narrowleaf iceplant; false iceplant; conicosia,Limited,,C,B,C,2.5,
Conium maculatum,poison-hemlock,Moderate,,B,B,B,3,
Cortaderia jubata,jubatagrass; pink pampasgrass,High,,A,A,A,3,
Cortaderia selloana,pampasgrass; white pampasgrass,High,,A,A,B,3,
Cotoneaster franchetii,orange Cotoneaster; Cotoneaster; Francheti Cotoneaster,Moderate,,B,A,B,2.5,
Cotoneaster lacteus,milkflower Cotoneaster; Parney's Cotoneaster,Moderate,,B,B,B,2,
Cotoneaster pannosus,silverleaf Cotoneaster; velvet Cotoneaster,Moderate,,B,A,B,2.5,
Cotula coronopifolia,common brassbuttons,Limited,,C,C,B,2.5,
Crataegus monogyna,English hawthorn; common hawthorn; oneseed hawthorn; May tree; singleseed hawthorn; azzarola; neapolitan medlar; oneseed hawthorn; whitethorn;,Limited,,C,B,C,3.5,
Crocosmia x crocosmiiflora,montbretia,Limited,,C,B,B,3,
Crupina vulgaris,common Crupina,Limited,,B,C,B,3,
